"No.","Ticker","Market Cap","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Average Volume","Price","Change","Volume"
1,"A",17432.57,333.51,333.12,0.20%,2.30%,84.70%,-0.09%,0.80%,1.31,2046.84,52.35,0.15%,4943306
2,"AA",18395.21,1177.67,1176.16,0.20%,0.77%,67.40%,-1.75%,4.99%,3.09,19007.19,15.69,0.45%,15171550
3,"AAC",394.38,20.67,7.41,43.30%,-3.64%,,,0.01%,0.00,323.62,19.03,-0.26%,72098
4,"AADR",,,,,,,,,,4.08,35.95,3.10%,1045
5,"AAIT",,,,,,,,,0.24,3.17,32.42,2.11%,210
6,"AAL",24040.28,720.20,715.84,0.70%,12.57%,70.30%,-0.05%,2.34%,1.38,12141.43,35.22,5.51%,13419365
7,"AAMC",1489.62,2.24,1.61,3.50%,0.02%,75.00%,3.45%,11.02%,16.93,10.51,690.99,3.91%,893
8,"AAME",81.18,20.71,4.63,75.13%,-0.03%,4.90%,-0.10%,0.17%,1.22,6.57,3.94,0.51%,1902
9,"AAN",1742.67,72.31,71.88,0.70%,18.49%,0.80%,,5.05%,4.83,750.67,24.27,0.71%,603453
10,"AAOI",219.93,14.80,14.38,2.80%,4.54%,63.90%,-0.05%,8.73%,5.01,250.71,14.89,0.20%,216745
11,"AAON",982.48,55.01,42.17,21.30%,1.11%,57.50%,0.25%,3.62%,9.29,164.44,18.07,1.18%,195849
12,"AAP",9909.95,72.98,72.52,0.60%,2.82%,99.40%,2.52%,2.57%,2.55,730.70,139.57,2.78%,899426
13,"AAPL",584835.25,5987.87,5984.09,0.04%,37.64%,62.30%,-0.21%,1.63%,1.69,57801.09,99.76,2.14%,65910464
14,"AAT",1485.73,42.62,36.51,0.50%,0.27%,86.10%,-0.58%,2.52%,6.02,152.49,35.85,2.84%,86585
15,"AAU",87.80,68.59,57.19,5.36%,,5.90%,125.22%,0.39%,1.55,145.16,1.31,2.34%,64384
16,"AAV",777.09,169.67,168.09,0.25%,,58.00%,3.99%,0.31%,1.31,395.39,4.48,-2.18%,270120
17,"AAVL",672.47,22.26,11.28,29.60%,,27.50%,46.89%,4.77%,2.15,250.55,30.21,0.00%,52622
18,"AAWW",831.05,25.26,24.71,1.90%,-9.94%,100.00%,-0.02%,10.80%,10.43,255.73,33.16,0.79%,121531
19,"AAXJ",,,,,,,,,1.72,584.48,60.92,0.89%,363182
20,"AB",2349.58,96.81,91.23,0.20%,19.06%,28.90%,2.65%,0.99%,3.63,248.35,25.08,3.34%,349157
21,"ABAC",58.59,27.77,12.28,,,0.60%,,1.06%,2.64,49.15,2.14,1.42%,79095
22,"ABAX",1077.13,22.52,21.22,5.90%,7.01%,97.20%,-0.56%,13.36%,14.12,200.76,48.25,0.88%,152323
23,"ABB",47650.75,2331.25,2291.83,,,3.90%,1.21%,0.15%,1.87,1880.71,20.64,0.98%,2029739
24,"ABBV",85042.42,1593.45,1572.32,0.06%,20.71%,84.40%,4.56%,7.04%,7.54,14679.42,54.41,1.95%,15971206
25,"ABC",17016.98,224.38,212.47,0.20%,0.22%,86.00%,-0.32%,2.97%,4.34,1454.41,75.49,-0.46%,2598076
26,"ABCB",635.08,26.74,24.08,2.00%,2.89%,63.00%,0.02%,4.04%,10.26,94.68,23.99,1.01%,122130
27,"ABCD",66.00,44.90,13.16,0.10%,-2.77%,11.00%,-0.46%,0.05%,0.31,23.12,1.44,-2.03%,950
28,"ABCO",1800.48,36.30,36.00,0.80%,19.80%,96.80%,1.21%,7.92%,9.25,308.01,49.46,-0.28%,235035
29,"ABG",1978.52,30.35,29.86,0.70%,-37.78%,98.50%,1.81%,5.93%,5.56,318.81,65.30,0.17%,730222
30,"ABIO",24.20,21.04,17.48,1.90%,-5.22%,13.20%,-0.04%,13.34%,11.57,201.53,1.17,1.74%,114914
31,"ABM",1437.24,55.75,50.36,1.90%,2.02%,85.00%,-0.65%,2.75%,6.50,213.19,26.10,1.24%,134326
32,"ABMD",930.00,40.47,39.80,3.20%,6.06%,99.70%,0.08%,21.69%,37.61,229.48,23.55,2.48%,176985
33,"ABR",326.10,50.48,38.63,3.30%,14.03%,59.50%,1.42%,0.47%,1.68,107.74,6.55,1.39%,74273
34,"ABT",61441.18,1503.70,1500.64,0.10%,7.74%,68.90%,-0.06%,0.75%,2.38,4704.94,41.46,1.47%,5010113
35,"ABTL",80.10,9.00,8.85,8.62%,0.43%,62.60%,-1.73%,1.39%,0.94,130.34,8.74,-1.80%,99834
36,"ABX",15647.59,1166.86,1161.31,,,72.10%,-2.21%,1.15%,1.40,9574.96,13.68,2.01%,7770669
37,"ABY",2662.61,83.73,83.72,,,32.80%,2.08%,1.89%,3.65,432.87,31.52,-0.88%,302693
38,"ACAD",2591.41,99.44,99.18,0.10%,21.03%,96.00%,0.26%,16.68%,13.91,1188.90,26.58,2.00%,875664
39,"ACAS",3760.54,268.61,263.40,1.30%,21.50%,67.40%,-0.24%,0.97%,1.02,2493.00,14.24,1.71%,793031
40,"ACAT",416.28,12.92,12.76,1.50%,19.04%,94.50%,2.20%,6.02%,4.85,158.33,32.16,-0.19%,210198
41,"ACC",4051.35,104.93,104.34,0.10%,5.00%,98.40%,-1.89%,1.19%,1.79,692.33,39.20,1.53%,810921
42,"ACCO",784.99,114.43,113.13,0.90%,22.19%,,0.17%,9.02%,9.53,1070.74,6.89,0.44%,1067818
43,"ACCU",,,,,,,,,,4.06,24.09,-0.66%,900
44,"ACE",35117.58,335.70,333.49,0.60%,0.10%,93.30%,0.00%,1.44%,3.58,1337.90,105.09,0.46%,1339074
45,"ACET",576.52,29.00,27.40,2.30%,17.02%,73.70%,-2.59%,3.77%,5.71,181.04,19.50,-1.91%,435331
46,"ACFC",61.11,15.51,10.76,0.10%,181.49%,51.60%,-0.09%,0.07%,0.46,16.28,3.94,0.00%,8423
47,"ACFN",29.69,22.16,20.19,7.20%,25.38%,21.40%,-6.48%,4.97%,5.59,179.66,1.35,0.75%,43832
48,"ACG",1819.40,242.91,242.88,,,34.30%,-0.76%,0.10%,0.49,517.98,7.50,0.13%,465067
49,"ACGL",7345.93,135.11,130.15,1.80%,4.47%,81.40%,-0.19%,0.99%,1.81,711.72,54.72,0.64%,493848
50,"ACH",7468.26,737.97,156.18,,,1.40%,0.10%,1.01%,7.47,210.80,10.26,1.38%,158607
51,"ACHC",2976.05,59.82,57.25,2.00%,-4.62%,72.50%,1.94%,9.05%,15.39,336.61,50.45,1.41%,269067
52,"ACHN",1072.65,97.78,97.54,13.04%,-50.03%,85.10%,-15.18%,15.09%,2.47,5965.87,10.99,0.18%,3514088
53,"ACI",418.19,212.28,211.08,0.54%,1.78%,65.80%,0.02%,22.34%,6.42,7345.00,1.92,-2.54%,5565670
54,"ACIM",,,,,,,,,,1.72,61.08,0.97%,299
55,"ACIW",2028.34,114.08,112.17,1.30%,19.98%,98.80%,0.00%,5.27%,10.30,573.80,17.78,0.00%,749086
56,"ACLS",216.50,111.60,102.47,0.80%,7.85%,59.50%,2.85%,3.20%,8.69,377.18,1.92,-1.03%,169868
57,"ACM",2988.38,99.48,89.61,0.30%,-52.66%,85.20%,9.52%,12.29%,7.02,1569.09,30.40,1.20%,3171590
58,"ACMP",11428.32,190.79,89.09,46.80%,0.25%,46.40%,-35.42%,1.87%,3.94,422.43,60.36,0.77%,395225
59,"ACN",51419.68,671.10,640.26,0.30%,-5.67%,83.40%,0.00%,2.68%,6.14,2798.74,76.44,-0.23%,2456092
60,"ACNB",115.74,6.00,5.86,2.10%,5.88%,8.80%,0.39%,0.02%,0.25,3.78,19.28,-0.05%,1250
61,"ACOR",1326.08,41.74,40.92,0.50%,28.27%,86.70%,4.47%,13.70%,8.28,676.75,32.38,1.92%,449615
62,"ACPW",42.01,23.08,21.32,26.61%,,46.30%,-3.32%,0.60%,1.82,69.84,1.83,0.55%,56703
63,"ACRE",337.77,28.60,25.97,0.50%,24.35%,61.50%,-1.66%,3.19%,6.08,136.26,11.95,1.19%,95646
64,"ACRX",292.38,43.38,42.66,0.20%,11.57%,85.80%,-0.30%,22.97%,8.69,1127.11,6.90,2.37%,224929
65,"ACST",58.44,106.26,50.66,,,,,0.17%,0.25,352.38,0.56,2.60%,58333
66,"ACT",59387.15,264.26,263.12,0.40%,33.80%,69.20%,2.53%,0.78%,0.85,2418.21,226.67,0.86%,1609783
67,"ACTA",691.00,41.18,34.55,8.90%,-3.25%,83.50%,0.47%,4.42%,9.69,157.68,17.17,2.32%,126218
68,"ACTG",753.15,50.11,48.77,1.50%,-6.12%,82.20%,-0.33%,18.01%,21.27,412.94,14.73,-2.00%,489348
69,"ACTS",124.51,63.85,60.44,5.61%,,9.90%,,0.03%,0.24,65.88,1.90,-2.56%,20677
70,"ACU",56.02,3.24,2.78,13.60%,0.46%,38.50%,-0.08%,0.09%,0.46,5.22,17.34,0.29%,1064
71,"ACUR",28.30,48.79,47.81,1.20%,16.29%,57.00%,-0.06%,0.29%,1.80,77.26,0.58,0.00%,73162
72,"ACW",205.72,47.73,47.25,5.70%,-13.92%,82.60%,0.05%,2.94%,7.49,185.83,4.29,-0.46%,84715
73,"ACWI",,,,,,,,,0.43,1247.94,56.71,0.71%,1403570
74,"ACWV",,,,,,,,,,83.15,66.35,1.04%,64624
75,"ACWX",,,,,,,,,1.29,389.50,43.55,0.53%,574033
76,"ACXM",1288.41,77.15,76.13,1.80%,91.10%,98.90%,3.45%,3.95%,4.96,607.26,16.74,0.24%,342264
77,"ACY",17.95,1.61,1.18,2.30%,-27.43%,25.10%,0.25%,0.13%,0.38,3.90,11.31,1.43%,365
78,"ADAT",25.80,41.61,39.80,2.50%,,29.00%,6.63%,0.69%,2.99,92.30,0.63,1.61%,9198
79,"ADBE",32178.70,498.74,496.83,0.10%,-75.16%,91.70%,-0.14%,1.89%,3.05,3079.04,64.68,0.25%,4226384
80,"ADC",430.70,14.96,14.12,0.10%,7.16%,68.80%,0.49%,2.42%,5.70,60.03,29.34,1.91%,44454
81,"ADEP",89.01,13.07,12.89,1.82%,0.42%,52.20%,-0.03%,6.48%,3.72,225.03,6.79,-0.29%,94084
82,"ADES",399.54,20.23,16.75,16.65%,-0.67%,41.40%,-9.92%,5.39%,5.62,160.62,19.53,-1.11%,161793
83,"ADGE",49.00,52.69,24.28,3.70%,3.83%,5.20%,2.47%,0.49%,1.34,88.13,0.95,2.15%,44871
84,"ADHD",73.60,13.63,7.32,,,32.80%,4.95%,19.58%,3.53,406.27,5.32,-1.48%,248637
85,"ADI",14120.60,314.21,311.32,0.30%,-5.13%,86.10%,-0.06%,1.94%,2.50,2423.24,45.32,0.85%,1867364
86,"ADK",80.18,18.10,16.11,3.70%,14.73%,29.20%,0.84%,1.98%,3.02,105.76,4.49,1.35%,108632
87,"ADM",28725.64,645.52,631.93,0.30%,-4.68%,75.60%,-0.09%,0.76%,1.49,3216.18,45.40,2.02%,4454959
88,"ADMP",43.40,10.56,8.04,2.30%,-11.32%,20.70%,9.57%,6.25%,5.66,88.87,4.24,3.16%,94049
89,"ADMS",243.69,16.76,14.43,0.30%,441.81%,46.00%,-0.10%,1.64%,3.62,65.44,14.32,-1.51%,45831
90,"ADNC",148.07,22.71,22.31,1.90%,-68.40%,94.20%,2.83%,4.80%,6.57,163.00,6.51,-0.15%,70340
91,"ADP",35036.85,482.07,481.35,0.20%,7.83%,76.30%,-0.05%,0.86%,2.53,1627.14,73.35,0.92%,2118105
92,"ADPT",534.92,20.55,9.80,0.10%,-93.86%,22.00%,5.73%,2.29%,2.25,99.46,26.15,0.46%,80315
93,"ADRA",,,,,,,,,0.28,9.90,28.48,1.90%,2350
94,"ADRD",,,,,,,,,2.46,5.00,22.78,0.44%,1327
95,"ADRE",,,,,,,,,0.98,24.01,38.78,-0.54%,136913
96,"ADRU",,,,,,,,,1.61,6.69,22.74,0.13%,2450
97,"ADS",14422.25,55.53,54.17,2.60%,0.28%,,-0.30%,3.64%,3.20,615.98,261.05,0.51%,709441
98,"ADSK",11541.52,227.24,226.50,0.20%,6.07%,92.90%,-0.04%,2.16%,1.65,2962.24,51.82,2.03%,2669725
99,"ADT",5712.75,174.01,173.56,0.30%,,93.00%,-0.10%,20.72%,18.51,1943.17,32.93,0.30%,1450530
100,"ADTN",1100.77,54.71,54.41,12.42%,0.06%,99.70%,1.16%,4.58%,5.52,451.09,19.91,-1.04%,594251
101,"ADUS",198.30,10.98,10.03,37.30%,0.54%,85.10%,-0.05%,1.90%,4.85,39.30,17.96,-0.55%,86762
102,"ADVS",1615.89,51.56,48.62,0.90%,-89.00%,84.40%,-6.40%,4.22%,6.27,327.46,31.68,1.08%,216512
103,"ADX",1252.90,93.78,84.61,0.20%,1.08%,19.00%,0.14%,0.98%,5.42,153.59,13.46,0.75%,181977
104,"ADXS",58.00,19.53,17.85,6.90%,30.51%,10.60%,-0.05%,2.69%,1.90,252.99,2.88,-3.03%,124114
105,"ADZ",,,,,,,,,,1.07,29.91,-1.48%,2200
106,"AE",182.18,4.22,2.13,50.16%,0.12%,38.90%,-0.85%,2.42%,6.76,7.62,43.02,-0.35%,12538
107,"AEC",1064.61,57.64,55.42,1.20%,-0.14%,88.10%,1.84%,4.87%,6.99,386.40,18.91,2.38%,210308
108,"AEE",9625.13,242.63,242.20,0.14%,3.03%,67.40%,0.35%,2.58%,4.25,1470.92,40.46,1.99%,1504119
109,"AEG",16536.73,2153.22,1818.62,,,7.40%,0.06%,0.08%,1.51,908.87,7.71,0.39%,638050
110,"AEGN",645.95,37.36,36.57,0.80%,15.01%,99.90%,1.57%,7.31%,8.33,320.73,17.46,0.98%,174457
111,"AEGR",916.35,29.55,28.53,0.30%,20.46%,,5.35%,32.66%,8.45,1102.98,31.92,2.93%,567953
112,"AEHR",22.43,11.50,8.71,9.20%,21.75%,14.70%,2.42%,0.05%,0.22,21.94,2.15,10.18%,13191
113,"AEIS",667.63,39.93,34.67,0.60%,7.64%,91.60%,0.06%,5.85%,4.85,418.42,17.10,2.27%,558152
114,"AEL",1742.84,74.80,71.75,1.30%,2.31%,,-0.07%,7.17%,10.96,469.51,23.51,0.90%,793406
115,"AEM",6019.71,209.60,209.56,,,78.10%,5.24%,1.00%,0.99,2109.18,30.33,5.61%,2282439
116,"AEO",2665.64,194.43,183.68,0.60%,75.54%,91.20%,0.24%,14.43%,4.72,5612.65,13.55,-1.17%,6642919
117,"AEP",26686.27,488.67,488.34,0.07%,-24.83%,67.70%,0.33%,1.52%,3.05,2429.14,55.36,1.37%,2161869
118,"AEPI",199.44,5.08,3.87,13.40%,-60.89%,74.70%,3.97%,4.62%,7.78,22.95,41.40,5.45%,22674
119,"AER",8112.75,212.32,181.43,0.50%,27.97%,38.60%,-0.07%,3.34%,4.15,1459.43,38.59,0.99%,610286
120,"AERI",514.83,23.89,23.24,,,76.20%,-17.58%,5.21%,5.70,212.42,21.75,0.93%,270562
121,"AES",9612.26,723.27,721.91,0.10%,-3.73%,94.90%,0.08%,1.32%,2.41,3948.53,13.36,0.53%,5162171
122,"AET",26733.29,354.60,353.13,0.10%,14.91%,90.30%,0.01%,1.75%,2.55,2424.90,76.45,1.41%,2109918
123,"AETI",57.19,8.17,4.91,48.01%,-4.33%,31.10%,15.79%,1.01%,4.35,11.42,7.02,0.29%,11615
124,"AEY",24.40,10.04,4.83,45.42%,0.03%,8.50%,0.47%,0.40%,0.51,37.99,2.44,0.41%,15535
125,"AEZS",62.20,57.59,57.72,7.06%,,21.40%,1.82%,6.55%,3.54,1066.10,1.13,4.63%,549604
126,"AF",1210.65,99.56,86.87,0.80%,-2.45%,79.40%,0.04%,8.35%,13.49,537.59,12.23,0.58%,467649
127,"AFAM",253.51,9.47,7.85,2.80%,167.41%,65.00%,1.07%,4.19%,6.98,47.12,27.60,3.10%,50829
128,"AFB",,,,,,,,,0.24,63.43,13.94,0.58%,90571
129,"AFCB",38.88,1.80,0.87,3.10%,21.83%,1.50%,-258.31%,0.11%,1.68,0.56,21.32,-1.30%,537
130,"AFFX",541.62,73.39,72.47,1.30%,3.02%,,-0.63%,14.24%,19.36,533.15,7.56,2.44%,320290
131,"AFG",5052.53,89.22,69.89,0.30%,-22.79%,61.30%,-0.33%,0.75%,1.37,385.19,56.92,0.51%,419965
132,"AFH",175.14,11.77,9.11,19.13%,7.70%,35.60%,1.50%,4.83%,9.32,47.17,14.60,-1.88%,97674
133,"AFK",,,,,,,,,,37.32,29.06,0.35%,14205
134,"AFL",25828.38,453.05,439.54,0.30%,-1.31%,65.50%,0.35%,0.86%,1.67,2249.05,57.22,0.37%,1795513
135,"AFMD",119.45,23.89,19.51,,,58.00%,21.63%,0.03%,0.03,217.98,4.91,-1.78%,7855
136,"AFOP",228.16,18.61,13.81,8.20%,-33.85%,41.50%,3.90%,14.44%,4.32,461.67,12.18,-0.65%,369309
137,"AFSI",3377.50,75.61,30.08,14.20%,1.60%,50.10%,1.25%,35.95%,17.36,622.96,45.43,1.70%,1023467
138,"AG",842.55,117.51,112.90,,,,,1.69%,1.64,1163.80,7.33,2.23%,941518
139,"AGA",,,,,,,,,,2.84,25.30,0.00%,0
140,"AGCO",4083.11,93.80,83.21,0.10%,86.86%,93.00%,0.15%,13.36%,7.04,1577.77,43.40,-0.30%,1869826
141,"AGD",,,,,,,,,0.24,43.88,9.37,1.19%,31910
142,"AGEN",181.80,62.69,58.50,2.10%,-21.47%,48.80%,0.09%,10.67%,14.70,424.44,2.98,2.76%,159704
143,"AGF",,,,,,,,,,3.92,13.45,-1.10%,319
144,"AGG",,,,,,,,,,1598.43,110.65,0.12%,1572221
145,"AGI",1053.27,127.36,126.65,15.16%,,,29.64%,0.74%,2.79,337.65,8.47,2.42%,264969
146,"AGII",1340.82,26.01,25.54,2.20%,5.34%,89.80%,0.69%,2.39%,6.39,95.36,52.00,0.87%,99024
147,"AGIO",2214.74,34.46,27.76,15.30%,-58.66%,83.50%,3.75%,11.90%,6.09,541.93,68.25,6.19%,453302
148,"AGLS",,,,,,,,,,6.32,19.78,0.00%,0
149,"AGM",330.32,10.56,10.23,0.70%,-14.96%,72.00%,-0.55%,3.39%,11.26,30.77,31.05,-0.74%,28377
150,"AGN",52746.48,297.18,296.61,0.10%,5.32%,93.70%,0.05%,1.31%,1.69,2304.65,179.25,0.99%,2093526
151,"AGNC",7920.14,352.79,352.23,0.40%,14.71%,54.70%,0.09%,1.34%,1.09,4303.88,22.66,0.94%,2970368
152,"AGO",3714.16,169.21,167.33,1.40%,-82.04%,98.80%,0.04%,2.63%,2.48,1774.25,21.87,-0.36%,1450352
153,"AGOL",,,,,,,,,,0.17,121.47,0.00%,0
154,"AGQ",,,,,,,,,,224.22,47.97,1.52%,187461
155,"AGRO",1023.40,120.40,117.98,27.41%,,74.40%,0.61%,0.47%,2.26,247.65,8.61,1.29%,365057
156,"AGRX",124.62,18.60,18.52,0.20%,,59.30%,0.04%,0.36%,1.48,44.94,6.60,-1.49%,11443
157,"AGTC",290.62,16.41,14.40,,,45.20%,1.56%,4.42%,8.41,75.78,17.82,0.62%,44198
158,"AGU",11921.76,144.00,143.05,0.10%,,70.50%,3.99%,3.66%,7.32,714.35,83.84,1.27%,616008
159,"AGX",447.93,14.44,12.42,3.30%,1.71%,78.20%,2.98%,2.51%,2.51,124.22,31.64,2.00%,87196
160,"AGYS",242.91,22.83,21.70,3.40%,48.64%,83.50%,2.95%,2.79%,7.68,78.83,10.79,1.41%,63631
161,"AGZ",,,,,,,,,,13.65,113.26,0.04%,11558
162,"AHC",248.25,21.95,18.76,0.80%,-6.40%,72.40%,0.47%,2.90%,9.09,59.80,11.19,-1.06%,27511
163,"AHGP",3903.47,59.86,17.22,4.10%,-11.41%,25.60%,0.02%,0.86%,3.18,46.45,66.55,2.05%,54123
164,"AHH",352.53,39.04,30.57,1.50%,22.36%,53.00%,-0.54%,1.83%,3.88,143.85,9.05,0.22%,120818
165,"AHL",2794.49,65.46,64.76,0.10%,-57.06%,91.80%,0.26%,1.05%,1.17,577.98,42.47,-0.52%,599368
166,"AHP",388.97,25.39,17.92,0.90%,6.53%,86.50%,-0.34%,7.57%,12.85,105.56,15.61,1.89%,359875
167,"AHPI",21.89,8.02,4.47,0.50%,2.56%,37.80%,-0.76%,0.10%,0.02,254.75,2.28,-16.48%,338772
168,"AHS",765.85,46.50,45.79,0.80%,10.39%,93.60%,0.37%,2.72%,3.97,313.80,16.78,1.88%,248375
169,"AHT",895.58,89.29,76.65,0.50%,9.30%,79.00%,0.15%,4.34%,6.49,512.35,10.35,3.19%,461477
170,"AI",595.69,22.92,21.97,1.90%,23.55%,30.40%,4.91%,12.53%,8.01,343.62,26.33,1.31%,411790
171,"AIA",,,,,,,,,,42.34,46.29,0.50%,25539
172,"AIG",72428.43,1426.88,1423.52,0.03%,2.39%,85.80%,0.25%,1.41%,2.35,8523.29,51.01,0.49%,8807349
173,"AIMC",733.21,26.74,25.74,1.50%,-10.09%,95.20%,-1.68%,9.15%,14.01,168.05,28.00,2.12%,266330
174,"AIN",1079.61,31.80,28.24,0.20%,1.60%,95.80%,0.09%,2.92%,11.06,74.55,34.10,0.44%,48378
175,"AINV",1882.08,236.74,236.17,,,47.70%,0.02%,0.50%,0.64,1839.50,7.97,0.25%,1957484
176,"AIQ",246.15,10.73,9.99,10.97%,,86.20%,0.59%,1.87%,5.05,36.93,22.74,-0.87%,17201
177,"AIR",960.95,39.89,37.70,4.40%,5.22%,96.10%,-0.32%,5.82%,8.14,269.84,24.19,0.42%,172946
178,"AIRI",76.04,7.10,6.26,10.90%,,6.40%,,0.23%,1.42,10.19,10.86,1.40%,6321
179,"AIRM",2125.45,39.15,35.63,7.40%,-2.10%,98.50%,-0.78%,24.19%,23.49,366.99,55.00,1.31%,263113
180,"AIRR",,,,,,,,,1.07,70.43,17.55,-1.02%,26360
181,"AIRT",30.36,2.35,1.58,1.90%,6.83%,29.70%,-0.14%,0.44%,0.51,13.76,12.81,-0.85%,12928
182,"AIT",1852.50,41.48,38.00,1.60%,2.31%,88.80%,0.14%,2.84%,6.82,158.39,45.06,0.90%,192493
183,"AIV",4898.83,146.19,145.00,0.50%,-19.85%,99.80%,0.13%,2.66%,4.02,958.08,34.03,1.55%,963043
184,"AIXG",1538.54,114.56,94.51,,,3.30%,-0.05%,0.77%,12.10,60.03,13.45,0.15%,37535
185,"AIZ",4448.40,71.38,70.41,1.90%,-0.22%,99.70%,0.13%,3.51%,5.24,471.29,62.77,0.72%,413294
186,"AJG",7094.13,158.99,157.00,0.50%,11.50%,81.80%,0.64%,0.74%,1.56,741.12,44.88,0.58%,472297
187,"AKAM",9592.13,178.16,172.42,0.10%,-15.23%,85.00%,-4.04%,2.18%,2.22,1690.22,53.99,0.28%,2326573
188,"AKAO",157.26,17.71,17.71,,,91.60%,-0.01%,2.59%,6.76,67.96,9.05,1.91%,15256
189,"AKBA",415.13,20.26,15.95,,,44.70%,5.06%,8.05%,11.46,112.08,20.43,-0.29%,186227
190,"AKER",15.24,4.90,3.56,,,20.60%,-4.81%,0.13%,0.20,22.98,3.58,15.11%,7972
191,"AKG",332.99,175.26,144.64,6.42%,,63.00%,2.32%,0.46%,4.35,154.00,1.92,1.05%,45668
192,"AKO-A",2522.58,157.76,101.73,,,,,0.03%,10.96,3.09,15.98,-0.06%,656
193,"AKO-B",2798.84,147.23,114.96,,,12.00%,-0.62%,0.33%,9.54,39.32,19.38,1.95%,25565
194,"AKP",,,,,,,,,1.87,16.41,13.73,0.07%,16632
195,"AKR",1711.38,59.32,58.76,0.90%,-17.98%,,-0.06%,5.12%,10.32,291.23,29.39,1.87%,216588
196,"AKRX",3877.80,104.13,82.05,2.60%,187.90%,83.90%,0.24%,13.75%,9.88,1141.72,39.01,4.75%,1507529
197,"AKS",1115.42,177.05,174.77,0.70%,11.62%,51.80%,0.80%,20.29%,2.97,11943.47,6.41,1.75%,12430866
198,"AL",3326.65,102.39,96.12,2.40%,15.03%,85.20%,-0.15%,2.71%,3.52,738.60,32.50,0.03%,688535
199,"ALB",4271.12,78.24,77.94,0.10%,23.72%,82.80%,0.58%,12.30%,7.36,1302.13,55.36,1.41%,1406515
200,"ALCO",268.42,7.36,6.71,0.80%,22.97%,29.30%,-0.05%,1.88%,8.99,14.02,36.43,-0.11%,5831
201,"ALCS",1.22,3.20,2.61,0.50%,23.08%,38.00%,-34.73%,9.84%,2.71,94.86,0.29,-23.68%,195868
202,"ALD",,,,,,,,,,25.53,48.50,-0.04%,15306
203,"ALDR",359.55,30.81,28.48,23.20%,,90.60%,-0.01%,2.41%,5.33,128.81,12.41,6.34%,62217
204,"ALDW",1156.44,62.51,11.50,81.60%,0.01%,7.00%,0.14%,1.93%,1.36,163.06,18.50,0.00%,366286
205,"ALDX",32.03,5.57,5.52,1.30%,,81.00%,,0.64%,2.29,15.35,5.89,2.43%,5753
206,"ALE",2065.00,42.63,42.33,0.30%,9.41%,69.70%,0.03%,6.31%,12.21,219.02,49.39,1.96%,321855
207,"ALEX",1726.24,48.75,45.34,1.50%,1.67%,77.90%,1.84%,4.48%,11.31,179.51,35.96,1.55%,141091
208,"ALFA",,,,,,,,,,14.18,38.33,1.48%,34506
209,"ALG",476.52,12.15,11.83,0.40%,14.08%,82.20%,-8.79%,2.17%,7.04,36.49,39.20,-0.05%,18539
210,"ALGN",3666.25,80.79,68.52,0.60%,14.13%,81.70%,0.04%,4.59%,4.22,745.63,47.59,4.87%,923777
211,"ALGT",2000.68,17.86,14.01,20.00%,-5.38%,77.40%,-18.89%,5.71%,6.27,127.39,117.88,5.23%,204454
212,"ALIM",208.40,42.97,42.21,0.80%,-20.93%,91.10%,2.30%,4.76%,7.33,273.97,4.88,0.62%,220830
213,"ALJ",1007.25,69.37,26.36,62.30%,0.51%,43.90%,-0.44%,37.83%,10.28,969.66,14.72,1.38%,706174
214,"ALK",6000.08,134.23,133.40,0.50%,0.90%,92.60%,0.26%,8.25%,7.86,1400.20,46.22,3.40%,1939539
215,"ALKS",6282.36,145.83,144.91,0.60%,3.55%,97.20%,-0.09%,3.23%,5.49,853.58,43.17,0.21%,595967
216,"ALL",26281.38,433.40,432.60,0.10%,-1.14%,77.20%,-0.12%,2.61%,4.99,2267.55,60.85,0.35%,1836537
217,"ALLB",64.72,4.02,3.47,48.47%,-0.13%,50.20%,-7.10%,0.14%,1.40,3.42,16.10,0.00%,4619
218,"ALLE",4497.35,96.20,96.02,0.20%,97.54%,,,,,691.31,46.90,0.32%,601717
219,"ALLT",350.63,33.11,30.28,15.57%,,56.10%,-229.49%,7.91%,7.33,326.81,10.44,-1.42%,156894
220,"ALLY",10368.05,479.78,404.55,,,68.50%,0.16%,2.42%,2.24,4375.24,21.53,-0.37%,1959428
221,"ALN",40.80,34.58,15.53,67.20%,,0.90%,-2.59%,0.08%,0.34,35.17,1.19,0.85%,11326
222,"ALNY",6580.70,76.36,64.75,8.10%,-0.48%,76.80%,0.02%,7.93%,7.48,686.35,87.99,2.10%,620136
223,"ALOG",900.33,12.42,12.30,0.50%,19.19%,97.30%,-0.08%,4.45%,6.80,80.58,70.80,-2.33%,104273
224,"ALOT",104.14,7.72,5.27,10.20%,-15.19%,38.90%,-0.03%,0.09%,0.79,6.24,12.75,-5.46%,7694
225,"ALQA",71.60,16.20,11.52,5.30%,3.62%,24.70%,,0.88%,4.51,22.41,4.39,-0.68%,27826
226,"ALR",3083.47,83.09,79.08,11.60%,-0.34%,89.70%,-1.66%,4.71%,5.43,686.40,37.31,0.54%,449165
227,"ALSK",67.80,49.49,48.17,0.50%,47.78%,20.10%,-0.29%,0.82%,1.91,207.83,1.41,2.92%,123574
228,"ALSN",5060.40,176.69,175.14,0.20%,-99.51%,60.60%,0.33%,0.78%,0.84,1644.30,28.80,0.56%,1807774
